rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc
0.6,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.51,12.393547,0.770893,0.778927,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.7,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.595,13.38656,0.735998,0.721147,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.8,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.68,14.310835,0.701998,0.674571,VINKYFOZICRAQLPMWHGESOUXBET,0.115385,0.884615
0.9,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
1.0,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,0,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAGLPMWHGESOUXBT,0.076923,0.923077
0.1,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.085,5.059644,0.959381,1.907975,PACENSE,0.923077,0.076923
0.2,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.17,7.155418,0.919759,1.349142,GEURANSCEORE,0.846154,0.153846
0.3,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.255,8.763561,0.881116,1.10157,SRATEBEICRARLSSWHGUF,0.653846,0.346154
0.4,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.34,10.119289,0.843436,0.953987,,1.0,0.0
0.5,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.425,11.313708,0.8067,0.853272,SRKTRDATARLEMIHSSSOSET,0.653846,0.346154
0.6,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.51,12.393547,0.770893,0.778927,MABEYEOZISRAGLPMWHGEER,0.538462,0.461538
0.7,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.595,13.38656,0.735998,0.721147,,1.0,0.0
0.8,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.68,14.310835,0.701998,0.674571,SURKIPORAHGESOUNST,0.615385,0.384615
0.9,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.765,15.178933,0.668877,0.635992,WIRPOTLRAALEOHRESOAET,0.692308,0.307692
1.0,16,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.17,7.155418,0.919759,1.349142,NUNKYPDZICRAGLEMWHGESOUABT,0.230769,0.769231
0.3,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.255,8.763561,0.881116,1.10157,VINKYFDZICRAGLEMWAGESOUXBT,0.153846,0.846154
0.4,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.34,10.119289,0.843436,0.953987,WINKYFOZCRAQLOMWHGESOUXBT,0.192308,0.807692
0.5,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.425,11.313708,0.8067,0.853272,WINKYFDZICRAGLEMWHGESOUXBT,0.153846,0.846154
0.6,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.51,12.393547,0.770893,0.778927,VINKYFDZICRAQLEMWHGESOURET,0.153846,0.846154
0.7,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.595,13.38656,0.735998,0.721147,VINKYFDZICRAQLPEMWHGESOUXBT,0.076923,0.923077
0.8,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.68,14.310835,0.701998,0.674571,VINKYFOZICRAQLPMWHGESOUXET,0.115385,0.884615
0.9,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
1.0,128,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAGLPMWHGESOUXBT,0.076923,0.923077
0.1,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.085,5.059644,0.959381,1.907975,VIKKYPOZICSQQLWHGCSOLABT,0.423077,0.576923
0.2,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.17,7.155418,0.919759,1.349142,VINKYFOZICRAQLEMWHGESOUXBT,0.115385,0.884615
0.3,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.255,8.763561,0.881116,1.10157,VINKYFDOZICRAQLEMWHGESOUXBT,0.115385,0.884615
0.4,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.34,10.119289,0.843436,0.953987,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.5,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.425,11.313708,0.8067,0.853272,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.6,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.51,12.393547,0.770893,0.778927,VINKYFDZICRAQLEMWHGESOUXBT,0.076923,0.923077
0.7,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.595,13.38656,0.735998,0.721147,VINKYFDOZICRAQLPMWHGESOUXBT,0.076923,0.923077
0.8,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.68,14.310835,0.701998,0.674571,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
0.9,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.765,15.178933,0.668877,0.635992,VINKYFDZICRAQLPMWHGESOUXBT,0.038462,0.961538
1.0,2048,6,license_plate_bahnschrift.ttf,VJNKYFDZICRAQLPMWHGESOUXBT,15,15,0,0.85,16.0,0.63662,0.603355,VINKYFDZICRAQLPMWHGESOUXBET,0.076923,0.923077
0.1,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.085,5.059644,0.959381,1.907975,EKAGFF,0.884615,0.115385
0.2,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.17,7.155418,0.919759,1.349142,,1.0,0.0
0.3,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.255,8.763561,0.881116,1.10157,SODFMEYPOURRYGONWEEBKYARELS,0.538462,0.461538
0.4,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.34,10.119289,0.843436,0.953987,JCUTMKYPUHRZOONWGEBXVAFEIS,0.115385,0.884615
0.5,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.425,11.313708,0.8067,0.853272,IEDTMRYPUHRZGONWGEBKYVAFLIS,0.230769,0.769231
0.6,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.51,12.393547,0.770893,0.778927,,1.0,0.0
0.7,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.595,13.38656,0.735998,0.721147,JCDTMKYPUHRZQONWGEBXVAFLIS,0.0,1.0
0.8,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.68,14.310835,0.701998,0.674571,,1.0,0.0
0.9,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.765,15.178933,0.668877,0.635992,JCDIMKYPUHRZQONWGEBXVAFEIS,0.076923,0.923077
1.0,16,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.85,16.0,0.63662,0.603355,,1.0,0.0
0.1,128,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.085,5.059644,0.959381,1.907975,,1.0,0.0
0.2,128,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.17,7.155418,0.919759,1.349142,JCDTMKYPUHRZQGONWGEBXVAFLIS,0.038462,0.961538
0.3,128,12,license_plate_bahnschrift.ttf,JCDTMKYPUHRZQONWGEBXVAFLIS,0,0,0,0.255,8.763561,0.881116,1.10157,JCDTMKYPUHRZQONWGEBXVAFLIS,0.0,1.0
