rho,mu_p,char_height_px,font_name,text,phase_x,phase_y,noise_repeat,qe_total,aperture_width_px,mtf_nyquist,aperture_f50_cpp,ocr_text,cer,char_acc,preview_relpath
0.7,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.595,13.38656,0.735998,0.721147,CBAGJWPD6YXT0RNZL49ESHSU87SKFVMG2,0.090909,0.909091,point_previews/task000003_mu000256_rho070_n1.png
0.8,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.68,14.310835,0.701998,0.674571,CBAGJWPD6YXT0RNZL49ESHSU87SKFVMQG2,0.090909,0.909091,point_previews/task000003_mu000256_rho080_n0.png
0.8,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.68,14.310835,0.701998,0.674571,CBAGJWPD6YXT0RNZL49ESHSU87TSKFVMQ2,0.090909,0.909091,point_previews/task000003_mu000256_rho080_n1.png
0.9,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.765,15.178933,0.668877,0.635992,CBAGJWPD6YXT0RNZL49ESHSU875SKFVMQG2,0.090909,0.909091,point_previews/task000003_mu000256_rho090_n0.png
0.9,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.765,15.178933,0.668877,0.635992,CBAGJWPD6YXT0RNZL49ESHSU875SKFVMQG2,0.090909,0.909091,point_previews/task000003_mu000256_rho090_n1.png
1.0,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.85,16.0,0.63662,0.603355,CBAGJWPD6YXT0RNZL49ESHSU875KFVMQG2,0.060606,0.939394,point_previews/task000003_mu000256_rho100_n0.png
1.0,256,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.85,16.0,0.63662,0.603355,CBAGJWPD6YXT0RNZL49E3HSUS7TSKFVMQG2,0.121212,0.878788,point_previews/task000003_mu000256_rho100_n1.png
0.1,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.085,5.059644,0.959381,1.907975,CBAGJWPD6YXT0RNZL4PESHSUS7TSKFYMQ2,0.181818,0.818182,point_previews/task000004_mu001024_rho010_n0.png
0.1,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.085,5.059644,0.959381,1.907975,CBAGJWPD6YXT0RNZL4PE3HSUS7SKFVMG2,0.121212,0.878788,point_previews/task000004_mu001024_rho010_n1.png
0.2,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.17,7.155418,0.919759,1.349142,CBAGJWPD6YXTRNZL49E3HSUS75SKFVMG2,0.121212,0.878788,point_previews/task000004_mu001024_rho020_n0.png
0.2,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.17,7.155418,0.919759,1.349142,CBAGJWPD6YXT0RNZL4PE3HSUS7SKFVMG2,0.121212,0.878788,point_previews/task000004_mu001024_rho020_n1.png
0.3,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.255,8.763561,0.881116,1.10157,CBAGJWPD6YXT0RNZL49ESHSUS7SKFVMG2,0.121212,0.878788,point_previews/task000004_mu001024_rho030_n0.png
0.3,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.255,8.763561,0.881116,1.10157,CBAGJWPD6YXT0RNZL4PE3HSUS75KFVMQ2,0.060606,0.939394,point_previews/task000004_mu001024_rho030_n1.png
0.4,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0.0,1.0,point_previews/task000004_mu001024_rho040_n0.png
0.4,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.34,10.119289,0.843436,0.953987,CBAGJWPD6YXT0RNZL49E3HSU875KFVMG2,0.030303,0.969697,point_previews/task000004_mu001024_rho040_n1.png
0.5,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQG2,0.030303,0.969697,point_previews/task000004_mu001024_rho050_n0.png
0.5,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,1,0.425,11.313708,0.8067,0.853272,CBAGJWPD6YXT0RNZL49E3HSU875SKFVMQG2,0.060606,0.939394,point_previews/task000004_mu001024_rho050_n1.png
0.6,1024,8,license_plate_bahnschrift.ttf,CBAGJWPD6YXT0RNZL49E3HSU875KFVMQ2,0,0,0,0.51,12.393547,0.770893,0.778927,CBAGJWPD6YXT0RNZL49ESHSU87SKFVMQ2,0.060606,0.939394,point_previews/task000004_mu001024_rho060_n0.png
