base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
16,0.5,8,50,9.377232428571332e-06,0.0003279305687683244,0.0424243,0.24465559857149713,0.6,0.12
16,0.6,8,50,-0.0030036981589571434,-0.05595530565241253,0.003030440000000009,0.33872902296951773,0.42,0.18
16,0.7,8,50,0.007418926198909795,0.10645948783476458,-0.02121208000000001,0.353934274738585,0.44,0.18
16,0.8,8,50,-0.017378238503024487,-0.2263454835249914,-0.05696974,0.43469950630652326,0.44,0.08
16,0.9,8,50,-0.015636921802828573,-0.17993376860097887,0.08545465999999999,0.4528600844692929,0.52,0.16
16,1.0,8,50,0.008459745553866936,0.09397757604416639,0.016969700000000018,0.4053652102738684,0.32,0.24
19,0.1,8,50,0.0006203019771,0.2178393074755689,0.013333320000000003,0.06682944137967936,0.52,0.14
19,0.2,8,50,0.00013268090628000003,0.03108210898524017,0.04303026,0.09466365956046703,0.72,0.02
19,0.3,8,50,-0.0012792088506600001,-0.1312395432188553,0.04363631999999999,0.16901515956008206,0.7,0.06
19,0.4,8,50,0.0008807848334983666,0.030687396985466988,0.04545455999999999,0.2413588596595737,0.62,0.1
19,0.5,8,50,-0.009211222959461226,-0.17413904989994974,-0.057575619999999994,0.3556245146553205,0.38,0.16
19,0.6,8,50,-0.0033035684713677528,-0.04898512373656559,-0.024242280000000012,0.38065738737883875,0.48,0.16
19,0.7,8,50,-0.008071080500375513,-0.09883549340162424,0.02727278,0.42403281891123445,0.54,0.16
19,0.8,8,50,0.0065456095335551055,0.06909900723590928,0.009696979999999989,0.4200002420423252,0.4,0.24
19,0.9,8,50,0.0001686588913224497,0.0017683550583184886,0.09151517999999999,0.43650000167167824,0.52,0.2
19,1.0,8,50,0.013283874805199181,0.1231695214918624,0.04666668,0.43489647627543904,0.4,0.28
23,0.1,8,50,-3.223321452000004e-05,-0.01886441445541246,0.024848459999999996,0.060510067646466895,0.52,0.2
23,0.2,8,50,-0.00011731390866,-0.018354082252998945,0.09212112,0.11615280582370792,0.78,0.12
23,0.3,8,50,0.0009332675886857157,0.04919730294380213,0.05333334,0.19710602889945983,0.7,0.06
23,0.4,8,50,-0.0045887356586367355,-0.08867424879184561,0.07151544,0.3384251317830487,0.62,0.1
23,0.5,8,50,0.00879819687899225,0.12087782252183982,-0.045454600000000005,0.3587725245969561,0.4,0.24
23,0.6,8,50,0.005239789429359186,0.06054620043633559,0.06727278,0.4039355460139695,0.52,0.22
23,0.7,8,50,0.0013560462630004078,0.013892532278684745,-0.003636400000000002,0.43941615783297483,0.42,0.18
23,0.8,8,50,0.029465744387107758,0.2840363267027851,-0.10121217999999998,0.386112919830598,0.28,0.3
23,0.9,8,50,-0.008715355972338773,-0.07388717509875564,0.07393944,0.5036612123998108,0.38,0.24
